date,ticker,action,price
2018-06-21,RELIANCE,BUY,464.01663387
2018-06-21,TCS,BUY,1819.35
2018-06-21,HDFCBANK,BUY,1028.80005
2018-06-21,INFY,BUY,623.275
2018-06-21,BAJFINANCE,BUY,2257.45
2018-06-22,HINDUNILVR,BUY,1608.1
2018-06-22,SBIN,BUY,273.04999
2018-06-26,RELIANCE,SELL,440.18517212
2018-06-27,SBIN,SELL,261.70001
2018-07-02,INFY,SELL,667.35
2018-07-03,INFY,BUY,676.875
2018-07-05,INFY,SELL,642.0
2018-07-06,INFY,BUY,642.125
2018-07-09,RELIANCE,BUY,448.34631169
2018-07-11,TCS,SELL,1979.9
2018-07-11,HINDUNILVR,SELL,1718.15
2018-07-12,RELIANCE,SELL,486.02701638
2018-07-12,TCS,BUY,1973.0
2018-07-12,HINDUNILVR,BUY,1742.35
2018-07-12,BAJFINANCE,SELL,2417.2
2018-07-13,RELIANCE,BUY,495.06498754
2018-07-13,BAJFINANCE,BUY,2474.0
2018-07-17,HINDUNILVR,SELL,1681.7
2018-07-19,HDFCBANK,SELL,1094.92505
2018-07-20,HDFCBANK,BUY,1094.525
2018-07-20,SBIN,BUY,261.5
2018-07-20,BAJFINANCE,SELL,2721.3501
2018-07-23,HINDUNILVR,BUY,1689.65
2018-07-23,ITC,BUY,268.21965416
2018-07-23,SBIN,SELL,266.35001
2018-07-23,BAJFINANCE,BUY,2755.8
2018-07-24,INFY,SELL,688.575
2018-07-24,SBIN,BUY,266.85001
2018-07-25,INFY,BUY,691.875
2018-07-26,SBIN,SELL,287.70001
2018-07-27,ITC,SELL,285.5880927
2018-07-27,SBIN,BUY,286.75
2018-07-30,ITC,BUY,284.17218738
2018-07-31,RELIANCE,SELL,533.2852636
2018-08-01,RELIANCE,BUY,536.14054304
2018-08-03,HDFCBANK,SELL,1060.82495
2018-08-06,SBIN,SELL,308.5
2018-08-07,SBIN,BUY,304.04999
2018-08-09,ICICIBANK,BUY,333.0
2018-08-13,SBIN,SELL,294.14999
2018-08-14,SBIN,BUY,294.89999
2018-08-23,RELIANCE,SELL,570.80858168
2018-08-24,RELIANCE,BUY,574.42826665
2018-08-27,HINDUNILVR,SELL,1792.3
2018-08-27,BAJFINANCE,SELL,2950.75
2018-08-28,HINDUNILVR,BUY,1771.2
2018-08-28,BAJFINANCE,BUY,2932.6001
2018-08-30,ITC,SELL,301.91821955
2018-08-31,ITC,BUY,301.91821955
2018-09-03,RELIANCE,SELL,552.68767433
2018-09-03,HINDUNILVR,SELL,1699.1
2018-09-03,BAJFINANCE,SELL,2724.05
2018-09-04,RELIANCE,BUY,558.44319825
2018-09-04,TCS,SELL,2098.8999
2018-09-04,INFY,SELL,737.15002
2018-09-04,ITC,SELL,292.24286656
2018-09-05,TCS,BUY,2079.25
2018-09-05,INFY,BUY,729.90002
2018-09-05,ITC,BUY,292.85641609
2018-09-10,SBIN,SELL,284.85001
2018-09-11,ITC,SELL,280.53804928
2018-09-12,ICICIBANK,SELL,322.89999
2018-09-12,BHARTIARTL,BUY,339.44144542
2018-09-21,INFY,SELL,705.29999
2018-09-24,BHARTIARTL,SELL,320.96905507
2018-09-25,INFY,BUY,726.20001
2018-10-01,TCS,SELL,2255.55
2018-10-03,TCS,BUY,2162.8501
2018-10-04,RELIANCE,SELL,504.62005655
2018-10-04,TCS,SELL,2064.8
2018-10-10,ICICIBANK,BUY,319.85001
2018-10-10,INFY,SELL,700.45001
2018-10-11,ICICIBANK,SELL,311.70001
2018-10-12,ICICIBANK,BUY,319.39999
2018-10-15,ICICIBANK,SELL,313.35001
2018-10-16,ICICIBANK,BUY,320.64999
2018-10-19,ITC,BUY,273.22253849
2018-10-22,ITC,SELL,272.32578901
2018-10-29,ICICIBANK,SELL,349.39999
2018-10-30,ICICIBANK,BUY,345.70001
2018-10-31,INFY,BUY,686.40002
2018-11-01,INFY,SELL,667.0
2018-11-14,ICICIBANK,SELL,366.60001
2018-11-15,ICICIBANK,BUY,370.0
2018-11-20,ICICIBANK,SELL,357.89999
2018-11-21,ICICIBANK,BUY,356.75
2018-11-22,SBIN,BUY,282.70001
2018-11-27,HINDUNILVR,BUY,1733.3
