,portfolio,investment,cash
2018-06-21,100000.0,0.0,100000.0
2018-06-22,101248.34815,100365.34815,883.0
2018-06-25,100615.90185,99732.90185,883.0
2018-06-26,100626.24815,99743.24815,883.0
2018-06-27,100231.05184999999,49888.299999999996,50342.75185
2018-06-28,100028.00185,49685.25,50342.75185
2018-06-29,101218.40185,50875.65,50342.75185
2018-07-02,101289.70185000001,50946.950000000004,50342.75185
2018-07-03,102110.62685,101714.125,396.50185000000056
2018-07-04,102797.50185,102401.0,396.50185000000056
2018-07-05,103240.75185,52328.0,50912.75185
2018-07-06,102706.05184999999,102113.04999999999,593.0018500000006
2018-07-09,103701.54835305999,103552.39631168998,149.15204137000057
2018-07-10,103661.95836082,103512.80631945,149.15204137000057
2018-07-11,104348.79877984,51964.64673847,52384.15204137
2018-07-12,103550.99433903999,102289.25,1261.744339039993
2018-07-13,104723.26217033,103947.36498754,775.897182789993
2018-07-16,105493.26248598,104717.36530319,775.897182789993
2018-07-17,105537.51461818,78256.61743539,27280.89718278999
2018-07-18,105369.49986297,78088.60268018,27280.89718278999
2018-07-19,104951.26500192001,77670.36781913001,27280.89718278999
2018-07-20,106420.99492130999,105771.49781852,649.4971027899919
2018-07-23,106827.64768796999,103360.99701334,3466.650674629993
2018-07-24,107341.32985335999,107186.68130873,154.6485446299921
2018-07-25,108214.61431639,108059.96577176,154.6485446299921
2018-07-26,108848.38153680999,50097.43086218001,58750.95067462999
2018-07-27,108264.59660930999,108106.38679888,158.20981042998756
2018-07-30,110458.53437342,110300.32456299,158.20981042998756
2018-07-31,109706.5572133,109030.79990000001,675.7573132999876
2018-08-01,110436.73633138998,110296.24274304,140.4935883499876
2018-08-02,109615.09042403998,109474.59683569,140.4935883499876
2018-08-03,111246.15951667,98304.36592832001,12941.793588349989
2018-08-06,111449.04874397,32375.25295562,79073.79578834999
2018-08-07,109910.26668139998,109848.22344305,62.043238349986495
2018-08-08,111317.53486666999,111255.49162832,62.043238349986495
2018-08-09,113551.79217923999,113489.74894089,62.043238349986495
2018-08-10,110462.41468752999,110400.37144918,62.043238349986495
2018-08-13,108296.14280747,32754.09956912,75542.04323834999
2018-08-14,107994.03481948999,107813.79412114,180.24069834998227
2018-08-16,107507.88342647998,107327.64272813,180.24069834998227
2018-08-17,110041.35979488998,109861.11909654,180.24069834998227
2018-08-20,111401.71132193999,111221.47062359001,180.24069834998227
2018-08-21,111325.29456070998,111145.05386236,180.24069834998227
2018-08-23,110458.69251543,109718.05264000001,740.6398754299822
2018-08-24,110097.95073168998,109926.23090665,171.7198250399822
2018-08-27,112167.54179597998,105474.42207094,6693.119725039983
2018-08-28,111677.51111940999,109755.39139437,1922.1197250399828
2018-08-29,112845.20969180999,110923.08996677,1922.1197250399828
2018-08-30,112650.37779824997,110728.25807320999,1922.1197250399828
2018-08-31,112762.55263915997,112664.11896046,98.43367869998292
2018-09-03,111604.19578629998,106274.44747592,5329.748310379983
2018-09-04,109343.2529289,108792.18935500001,551.0635738999817
2018-09-05,108978.01660409998,108426.95303019999,551.0635738999817
2018-09-06,109880.69991649999,109329.6363426,551.0635738999817
2018-09-07,109125.5339533,108574.47037940001,551.0635738999817
2018-09-10,108257.76128449998,33881.6002506,74376.16103389999
2018-09-11,107768.09210089999,33391.931067000005,74376.16103389999
2018-09-12,107349.91461037999,107110.57274952,239.34186085998954
2018-09-14,108710.4388067,108471.09694584,239.34186085998954
2018-09-17,107673.57098834,107434.22912748001,239.34186085998954
2018-09-18,105812.29855634,105572.95669548001,239.34186085998954
2018-09-19,104929.20784669998,104689.86598583999,239.34186085998954
2018-09-21,105198.9043289,104959.56246804,239.34186085998954
2018-09-24,105571.98350882,33239.4996126,72332.48389622
