bin_start,bin_end,frequency
-0.059008,-0.054943,1
-0.054943,-0.050877,1
-0.050877,-0.046811,0
-0.046811,-0.042746,1
-0.042746,-0.03868,3
-0.03868,-0.034614,4
-0.034614,-0.030549,7
-0.030549,-0.026483,15
-0.026483,-0.022417,8
-0.022417,-0.018352,40
-0.018352,-0.014286,56
-0.014286,-0.01022,89
-0.01022,-0.006155,143
-0.006155,-0.002089,229
-0.002089,0.001977,394
0.001977,0.006042,232
0.006042,0.010108,155
0.010108,0.014174,115
0.014174,0.018239,72
0.018239,0.022305,50
0.022305,0.026371,25
0.026371,0.030436,18
0.030436,0.034502,4
0.034502,0.038568,9
0.038568,0.042633,7
0.042633,0.046699,5
0.046699,0.050765,2
0.050765,0.05483,2
0.05483,0.058896,0
0.058896,0.062962,2
